,logFC,AveExpr,t,P.Value,adj.P.Val,B
G6PC3,-0.128946436504382,9.449002268266,-2.39279952147379,0.0176663015588427,0.150569507934034,-3.49872755931318
ARHGAP21,0.132541449661705,9.91310232197287,2.39188732282199,0.0177089835324528,0.150845533566259,-3.50077440115978
BRCA1,0.142561485896422,6.73428449813783,2.39137707900794,0.0177328976456011,0.150961466243871,-3.50191899421746
AMACR,-0.138243891094214,7.83036208293561,-2.39044090160267,0.0177768485892557,0.151183855860641,-3.50401845575094
EIF2B2,-0.0757721542747021,9.80839729700713,-2.39038110850062,0.0177796589753522,0.151183855860641,-3.50415252084748
GINS2,0.115591036650065,8.0948609377689,2.39003425200595,0.0177959696105198,0.151234774224899,-3.50493016284702
LBH,0.168592496594714,8.47808269857432,2.3888298396187,0.0178527087244475,0.151626311858123,-3.50762959520186
NSFL1C,-0.088998832234914,9.76501940294357,-2.38805534382427,0.0178892790555542,0.151626311858123,-3.50936478514877
KCTD20,0.101346054826394,8.70954653736339,2.38783797206578,0.0178995548464645,0.151626311858123,-3.50985169235662
ASCL2,0.2136897676007,7.9156084061229,2.38772784101361,0.0179047630479381,0.151626311858123,-3.5100983671905
TLE1,-0.118435844431541,8.95923615987624,-2.38758365488227,0.0179115837685275,0.151626311858123,-3.51042130342613
FAM218A,-0.161960182495846,6.58353721528015,-2.38747218408733,0.0179168584631385,0.151626311858123,-3.5106709539631
PLAT,0.284418196355453,8.72628686417574,2.38733656032138,0.0179232779029817,0.151626311858123,-3.51097468281926
AGAP3,0.133904288165059,8.19869760721685,2.387104183582,0.0179342816426892,0.151626311858123,-3.51149505180633
UBA5,0.135212378636821,8.56239665535452,2.38708510774788,0.0179351852057967,0.151626311858123,-3.51153776684087
B4GALT6,-0.159179221797145,6.57634212964494,-2.38651210448904,0.0179623453328694,0.1517683514832,-3.51282069879505
CLIC3,0.17757273651147,10.72097865509,2.38528215674701,0.0180207670000227,0.152174211710278,-3.51557352488824
DRG1,-0.138619775547168,9.65587527963318,-2.3845290065219,0.0180566238473293,0.152261212061948,-3.51725854003862
TPSD1,0.198847879457948,7.35372154755312,2.38437741930911,0.0180638483940824,0.152261212061948,-3.51759762397888
CEP85,-0.174224556493911,8.48985891014132,-2.38431674112611,0.0180667409912067,0.152261212061948,-3.51773334872088
DVL1,0.1069997296621,8.26823967067301,2.38419302506929,0.0180726399410093,0.152261212061948,-3.51801006628062
SON,-0.118185356097655,9.65805158725555,-2.38392404688381,0.0180854710521877,0.152281745049196,-3.51861164718524
MYH11,-0.235272541157897,9.78856746254253,-2.38327880888695,0.0181162837269942,0.152453574316021,-3.52005448835708
SLC4A9,0.135321718287689,6.07613720288569,2.38134021087405,0.0182091383309531,0.153147006708837,-3.52438724910919
CNNM4,0.14183713256098,7.93237448392691,2.38063996348868,0.0182427817374839,0.153322333227826,-3.52595148389697
IPPK,0.117052620289629,8.20699815559212,2.38047085959854,0.0182509145552746,0.153322333227826,-3.52632916859714
MOV10,0.0925273621518254,9.09687870366915,2.37974356777483,0.0182859291240142,0.153528451344373,-3.52795324893867
ITGA2,0.173281741891878,7.41137235206016,2.37912700056056,0.0183156593943528,0.153689991859486,-3.52932970952706
KIAA0020,0.101797383634503,8.36187516551316,2.37884352935048,0.0183293424027402,0.153716769056981,-3.529962434489
DOK3,-0.152483001789999,7.06264076225894,-2.37790231806652,0.0183748388794151,0.154010162712992,-3.53206276610018
RELT,0.107703833822362,7.08300697894611,2.3771340469056,0.0184120495461646,0.154168736630591,-3.53377659825492
UXT,-0.128448686459201,10.5323369458259,-2.37707723749861,0.0184148037064729,0.154168736630591,-3.53390330596634
CD80,0.144647531209056,6.25674131270201,2.37673963977466,0.0184311781802729,0.15421769932563,-3.53465622516836
MATK,0.180487866450937,6.73377746568021,2.37627643666864,0.0184536657777413,0.154317726774936,-3.53568910888278
