"Name","K","Kin","Kout","TypeI","TypeII"
"FLT3LG",2,1,1,0,1
"TGM2",11,3,8,0,1
"HRAS",28,20,8,0,1
"TBP",33,12,21,0,1
"FOXA2",5,4,1,0,1
"SMAD1",26,7,19,0,1
"FRS3",6,3,3,0,1
"ITPR1",15,5,10,0,1
"WNT4",2,1,1,0,1
"WNT1",3,2,1,0,1
"FZD9",3,1,2,0,1
"GABARAP",3,2,1,0,1
"GSK3B",38,11,27,0,1
"IARS",2,1,1,0,1
"GATA1",9,4,5,0,1
"GATA4",2,1,1,0,1
"RNF11",24,12,12,0,1
"MLNR",2,1,1,0,1
"NTRK1",14,3,11,0,1
"PLEKHF2",11,9,2,0,1
"GNB1",10,4,6,0,1
"PPP2R1A",10,7,3,0,1
"IGF1R",16,7,9,0,1
"NUDT18",12,8,4,0,1
"PLCD1",5,2,3,0,1
"GRM5",11,1,10,0,1
"TNFRSF1A",25,9,16,0,1
"NANOS1",3,2,1,0,1
"RAP2A",9,4,5,0,1
"SNCA",13,3,10,0,1
"TUBA4A",11,4,7,0,1
"MED25",7,3,4,0,1
"HDAC6",10,8,2,0,1
"ZNF512B",12,2,10,0,1
"MET",14,4,10,0,1
"HIPK3",6,3,3,0,1
"HMP19",5,1,4,0,1
"MEIS1",17,9,8,0,1
"HOXC8",4,2,2,0,1
"SMAD6",7,3,4,0,1
"PBX1",8,2,6,0,1
"HSPA5",9,2,7,0,1
"HTR1D",2,1,1,0,1
"S1PR1",4,1,3,0,1
"MPDZ",5,1,4,0,1
"HTRA1",10,1,9,0,1
"RDX",7,3,4,0,1
"TCF4",11,4,7,0,1
"UBE2D3",8,6,2,0,1
"IL4R",7,1,6,0,1
"IL18",4,2,2,0,1
"IL1RAP",7,3,4,0,1
"TOLLIP",9,5,4,0,1
"SIRPA",3,2,1,0,1
"SDC1",4,1,3,0,1
"MRPL44",8,5,3,0,1
"NEK2",7,2,5,0,1
"TRAF4",13,8,5,0,1
"IRF8",8,3,5,0,1
"ITFG1",4,2,2,0,1
"TLN1",10,5,5,0,1
"RNF7",4,1,3,0,1
"PRKG1",14,6,8,0,1
"TRPC6",3,1,2,0,1
"PTPN6",32,4,28,0,1
"TJP1",11,2,9,0,1
"WDYHV1",10,4,6,0,1
"KIAA1279",3,1,2,0,1
"KRT18",10,5,5,0,1
"PRKAA2",2,1,1,0,1
"SNX4",7,4,3,0,1
"NGFR",17,5,12,0,1
"SHANK2",8,3,5,0,1
"SHANK1",10,2,8,0,1
"LSM5",6,4,2,0,1
"LSM7",2,1,1,0,1
"MACF1",4,2,2,0,1
"MAD1L1",8,7,1,0,1
"NDC80",12,5,7,0,1
"MAFK",2,1,1,0,1
"MBP",10,3,7,0,1
"MAGEA4",2,1,1,0,1
"MAP1B",8,2,6,0,1
"MAP2K6",9,5,4,0,1
"MAP2K7",6,4,2,0,1
"TNIP2",5,3,2,0,1
"MAPK8IP2",8,3,5,0,1
"MAPK8IP3",16,5,11,0,1
"UFD1L",3,2,1,0,1
"SMAD5",13,4,9,0,1
"SMAD7",7,2,5,0,1
"ZMYND19",4,1,3,0,1
"MECP2",7,3,4,0,1
"MED9",8,4,4,0,1
"MED17",4,2,2,0,1
"MED22",3,1,2,0,1
"MEF2C",7,3,4,0,1
"MEOX1",3,2,1,0,1
"MINK1",4,1,3,0,1
"MSX1",8,3,5,0,1
"NEDD8",4,2,2,0,1
"NAPA",6,2,4,0,1
"NCAN",4,3,1,0,1
"RXRB",11,7,4,0,1
"TSC22D1",4,2,2,0,1
"NDEL1",5,2,3,0,1
"PHYHIP",7,3,4,0,1
"NFIC",3,2,1,0,1
"NFKB2",10,4,6,0,1
"NFKBIB",12,6,6,0,1
"NR5A1",7,2,5,0,1
"NFYA",6,3,3,0,1
"TRAF5",13,7,6,0,1
"RPGR",3,1,2,0,1
"NR3C1",21,3,18,0,1
"NR4A1",8,1,7,0,1
"PROX1",4,2,2,0,1
"STX8",5,3,2,0,1
"NTF3",2,1,1,0,1
"PTGS2",2,1,1,0,1
"OPRD1",8,2,6,0,1
"PTN",11,4,7,0,1
"PAX6",2,1,1,0,1
"SIX3",2,1,1,0,1
"PCM1",4,1,3,0,1
"PDE6D",10,1,9,0,1
"RAB8A",4,2,2,0,1
"PDGFRB",20,3,17,0,1
"TUBG1",9,5,4,0,1
"SH3GL1",8,3,5,0,1
"PIP4K2A",2,1,1,0,1
"PIP4K2C",4,1,3,0,1
"TRPC3",4,2,2,0,1
"VAV3",9,3,6,0,1
"UBAP2L",3,1,2,0,1
"PNN",6,2,4,0,1
"POLR3F",5,2,3,0,1
"PPFIBP2",4,2,2,0,1
"TSG101",6,2,4,0,1
"RCVRN",2,1,1,0,1
"PSMD4",2,1,1,0,1
"PTGDS",5,2,3,0,1
"RBM8A",3,1,2,0,1
"RCOR1",3,2,1,0,1
"RLN3",2,1,1,0,1
"UBE2L6",5,2,3,0,1
"SERPING1",4,1,3,0,1
"TRIM2",2,1,1,0,1
"SOX5",3,2,1,0,1
"SMARCC1",4,1,3,0,1
"SMG1",4,2,2,0,1
"STX11",5,3,2,0,1
"SNAP25",2,1,1,0,1
"SOX6",2,1,1,0,1
"TES",5,2,3,0,1
"SST",4,2,2,0,1
"SSTR5",3,1,2,0,1
"STX3",3,1,2,0,1
"SYT4",3,1,2,0,1
"TARBP2",3,1,2,0,1
"TLR1",6,1,5,0,1
"TNFRSF10B",4,1,3,0,1
"TNFRSF4",6,1,5,0,1
"ZNF446",3,1,2,0,1
